x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,51-51-255,x,x,51-51-255,x,x,x,x,x,x,x
x,x,x,x,x,51-51-255,x,x,51-51-255,x,x,x,x,x,x,x
x,x,x,x,x,51-51-255,51-51-255,51-51-255,51-51-255,x,x,x,x,x,x,x
x,x,x,x,51-51-255,255-255-0,51-51-255,51-51-255,255-255-0,51-51-255,x,x,x,x,x,x
x,x,x,x,51-51-255,51-51-255,51-51-255,51-51-255,51-51-255,51-51-255,x,x,x,x,x,x
x,x,x,51-51-255,51-51-255,51-51-255,51-51-255,51-51-255,51-51-255,51-51-255,51-51-255,x,x,x,x,x
x,x,x,51-51-255,51-51-255,51-51-255,x,x,51-51-255,51-51-255,51-51-255,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
