x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x,x,x
x,x,x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x,x,x
x,x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x
x,x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x
x,x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x
x,x,x,x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x,x
x,x,x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x,x,x,x
x,x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x
x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x
x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x
x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x
x,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x
x,x,x,255-209-204,255-209-204,255-209-204,x,x,255-209-204,255-209-204,255-209-204,x,x,x,x,x
x,x,255-209-204,255-209-204,255-209-204,x,x,x,x,255-209-204,255-209-204,255-209-204,x,x,x,x
x,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x,x,255-209-204,255-209-204,255-209-204,255-209-204,x,x,x
